deployment_pct,coincident_generation_share,density
30,0.095,0.0009302325581395349
30,0.10500000000000001,0.0013953488372093045
30,0.11499999999999999,0.00046511627906976817
30,0.125,0.0018604651162790699
30,0.135,0.0006976744186046512
30,0.14500000000000002,0.0018604651162790749
30,0.155,0.0009302325581395349
30,0.165,0.0011627906976744188
30,0.175,0.0016279069767441907
30,0.185,0.0006976744186046512
30,0.195,0.0013953488372093023
30,0.20500000000000002,0.0006976744186046531
30,0.215,0.0027906976744186047
30,0.225,0.0013953488372093023
30,0.235,0.0025581395348837285
30,0.245,0.003953488372093024
30,0.255,0.0027906976744186047
30,0.265,0.0023255813953488376
30,0.275,0.0032558139534883727
30,0.28500000000000003,0.00232558139534885
30,0.295,0.0032558139534883727
30,0.305,0.0037209302325581397
30,0.315,0.0037209302325581397
30,0.325,0.003953488372093024
30,0.335,0.0025581395348837216
30,0.34500000000000003,0.0030232558139534882
30,0.355,0.0037209302325581606
30,0.365,0.0020930232558139536
30,0.375,0.004418604651162791
30,0.385,0.0030232558139534882
30,0.395,0.004186046511627907
30,0.405,0.005581395348837209
30,0.41500000000000004,0.003953488372093045
30,0.425,0.004186046511627907
30,0.435,0.005348837209302327
30,0.445,0.005116279069767443
30,0.455,0.0032558139534883727
30,0.465,0.005813953488372093
30,0.475,0.004186046511627931
30,0.485,0.003953488372093024
30,0.495,0.004418604651162791
30,0.505,0.004883720930232559
30,0.515,0.004883720930232559
30,0.525,0.004418604651162791
30,0.535,0.005813953488372093
30,0.545,0.005581395348837209
30,0.555,0.009069767441860466
30,0.5650000000000001,0.006279069767441861
30,0.575,0.006511627906976817
30,0.585,0.008604651162790699
30,0.595,0.0060465116279069765
30,0.605,0.006279069767441861
30,0.615,0.008837209302325582
30,0.625,0.005581395348837209
30,0.635,0.0060465116279069765
30,0.645,0.005116279069767443
30,0.655,0.010232558139534886
30,0.665,0.008837209302325582
30,0.675,0.011627906976744186
30,0.685,0.00813953488372093
30,0.6950000000000001,0.01046511627906977
30,0.7050000000000001,0.010930232558139658
30,0.715,0.013255813953488372
30,0.725,0.011627906976744186
30,0.735,0.014418604651162792
30,0.745,0.013953488372093023
30,0.755,0.014186046511627907
30,0.765,0.011627906976744186
30,0.775,0.015116279069767443
30,0.785,0.015116279069767443
30,0.795,0.020000000000000004
30,0.805,0.01627906976744186
30,0.8150000000000001,0.020000000000000004
30,0.8250000000000001,0.016511627906976745
30,0.835,0.021395348837209543
30,0.845,0.02930232558139535
30,0.855,0.02604651162790698
30,0.865,0.0286046511627907
30,0.875,0.035813953488372095
30,0.885,0.043023255813953484
30,0.895,0.056976744186046514
30,0.905,0.06139534883720931
30,0.915,0.10116279069767442
30,0.925,0.4604651162790698
30,0.935,0.5913953488372093
30,0.9450000000000001,0.06465116279069767
30,0.9550000000000001,0.042790697674419086
30,0.965,0.04744186046511628
30,0.975,0.07279069767441862
30,0.985,0.13069767441860466
30,0.995,1.0
40,0.005,0.007586020048767279
40,0.015,0.0
40,0.025,0.0005418585749119487
40,0.035,0.0005418585749119484
40,0.045,0.0008127878623679227
40,0.055,0.0010837171498238977
40,0.065,0.0018965050121918185
40,0.07500000000000001,0.0016255757247358464
40,0.08499999999999999,0.001354646437279872
40,0.095,0.001625575724735844
40,0.10500000000000001,0.0024383635871037695
40,0.11499999999999999,0.001354646437279872
40,0.125,0.002167434299647792
40,0.135,0.0013546464372798702
40,0.14500000000000002,0.0013546464372798737
40,0.155,0.002167434299647792
40,0.165,0.002167434299647792
40,0.175,0.002167434299647798
40,0.185,0.004876727174207532
40,0.195,0.005418585749119481
40,0.20500000000000002,0.0035220807369276716
40,0.215,0.003251151449471688
40,0.225,0.0040639393118396105
40,0.235,0.004334868599295596
40,0.245,0.0056895150365754545
40,0.255,0.005418585749119481
40,0.265,0.003793010024383637
40,0.275,0.0051476564616635065
40,0.28500000000000003,0.004063939311839633
40,0.295,0.0056895150365754545
40,0.305,0.004605797886751558
40,0.315,0.005418585749119481
40,0.325,0.006502302898943376
40,0.335,0.007044161473855324
40,0.34500000000000003,0.007044161473855324
40,0.355,0.007586020048767315
40,0.365,0.004876727174207532
40,0.375,0.0056895150365754545
40,0.385,0.0067732321863993505
40,0.395,0.005960444324031428
40,0.405,0.005960444324031428
40,0.41500000000000004,0.006231373611487437
40,0.425,0.007044161473855324
40,0.435,0.008398807911135195
40,0.445,0.007856949336223246
40,0.455,0.01002438363587104
40,0.465,0.008940666486047143
40,0.475,0.009211595773503167
40,0.485,0.00948252506095909
40,0.495,0.009211595773503115
40,0.505,0.007856949336223246
40,0.515,0.008940666486047143
40,0.525,0.0062313736114874025
40,0.535,0.011379030073150909
40,0.545,0.009211595773503115
40,0.555,0.014088322947710648
40,0.5650000000000001,0.010566242210782987
40,0.575,0.012733676510430919
40,0.585,0.016526686534814414
40,0.595,0.013546464372798701
40,0.605,0.014359252235166623
40,0.615,0.016526686534814414
40,0.625,0.020590625846654026
40,0.635,0.013817393660254673
40,0.645,0.013546464372798701
40,0.655,0.014359252235166623
40,0.665,0.018694120834462206
40,0.675,0.019506908696830128
40,0.685,0.017339474397182336
40,0.6950000000000001,0.017339474397182336
40,0.7050000000000001,0.01815226225955046
40,0.715,0.023841777296125712
40,0.725,0.02004876727174208
40,0.735,0.02655107017068545
40,0.745,0.023299918721213765
40,0.755,0.021945272283933892
40,0.765,0.027092928745597402
40,0.775,0.03061500948252506
40,0.785,0.03467894879436467
40,0.795,0.032511514494716884
